"isolsoft.com","HTTPConnectionPool(host='isolsoft.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77a790>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
"activebizpro.com","HTTPConnectionPool(host='activebizpro.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadc0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpro.asia","HTTPConnectionPool(host='activeitpro.asia', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadc0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"it-papers.com","HTTPConnectionPool(host='it-papers.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f7fad00>, 'Connection to it-papers.com timed out. (connect timeout=10)'))"
"activeitpro.sg","HTTPConnectionPool(host='activeitpro.sg', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f77a730>, 'Connection to activeitpro.sg timed out. (connect timeout=10)'))"
"activetechpro.asia","HTTPConnectionPool(host='activetechpro.asia', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77a2b0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activebizpros.com.cn","HTTPConnectionPool(host='activebizpros.com.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77a4f0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpro.com.sg","HTTPConnectionPool(host='activeitpro.com.sg', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f77a940>, 'Connection to activeitpro.com.sg timed out. (connect timeout=10)'))"
"activeitpro.com.au","HTTPConnectionPool(host='activeitpro.com.au', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7e79d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"australiandeveloper.com.au","HTTPConnectionPool(host='australiandeveloper.com.au', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f7e7c10>, 'Connection to australiandeveloper.com.au timed out. (connect timeout=10)'))"
"techepublic.com","HTTPConnectionPool(host='techepublic.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f78a370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"techrepublic.ca","HTTPConnectionPool(host='techrepublic.ca', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f78af10>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"techrepublic.xn--fiqs8s","HTTPConnectionPool(host='techrepublic.xn--fiqs8s', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f78abe0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"techresearchpro.com","HTTPConnectionPool(host='techresearchpro.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f728130>, 'Connection to techresearchpro.com timed out. (connect timeout=10)'))"
"trstatic.com","HTTPConnectionPool(host='trstatic.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77a970>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"virusthreatcenter.com","HTTPConnectionPool(host='virusthreatcenter.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f77a280>, 'Connection to virusthreatcenter.com timed out. (connect timeout=10)'))"
"wwwtechrepublic.com","HTTPConnectionPool(host='wwwtechrepublic.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77ad00>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activebizpros.co.uk","HTTPConnectionPool(host='activebizpros.co.uk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f728e50>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpros.co.uk","HTTPConnectionPool(host='activeitpros.co.uk', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f728280>, 'Connection to activeitpros.co.uk timed out. (connect timeout=10)'))"
"activeitpros.com.cn","HTTPConnectionPool(host='activeitpros.com.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa730>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activebizpro.com.tw","HTTPConnectionPool(host='activebizpro.com.tw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activetechpro.com","HTTPConnectionPool(host='activetechpro.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadf0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activetechpros.cn","HTTPConnectionPool(host='activetechpros.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa730>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activetechpros.com.cn","HTTPConnectionPool(host='activetechpros.com.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpros.asia","HTTPConnectionPool(host='activeitpros.asia', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadf0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpros.org","HTTPConnectionPool(host='activeitpros.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa730>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
